file,path,type,included,tables_extracted,rows_extracted
1.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\1.zip,OTHER,NO,0,0
10.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\10.zip,OTHER,NO,0,0
11.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\11.zip,OTHER,NO,0,0
12.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\12.zip,OTHER,NO,0,0
13.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\13.zip,OTHER,NO,0,0
14.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\14.zip,OTHER,NO,0,0
15.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\15.zip,OTHER,NO,0,0
2.zip,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2.zip,OTHER,NO,0,0
2001 Extract TandF weltklasse Zurich with RT W NAT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2001 Extract TandF weltklasse Zurich with RT W NAT.xlsx,XLSX,YES,11,96
2001_zurich.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2001_zurich.xlsx,XLSX,YES,11,96
2002 2003 TandF EXTRACT Eur Championships with RT IV.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 2003 TandF EXTRACT Eur Championships with RT IV.xlsx,XLSX,NO,0,0
2002 EXTRACT TandF Eur Champsionships II with RT DOB CNTRY .xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 EXTRACT TandF Eur Champsionships II with RT DOB CNTRY .xlsx,XLSX,NO,0,0
2002 EXTRACT TandF Eur Champsionships with RT DOB CNTRY.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 EXTRACT TandF Eur Champsionships with RT DOB CNTRY.xlsx,XLSX,NO,0,0
2002 Extract TandF European CHampionship with RT DOB CNTRY .xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 Extract TandF European CHampionship with RT DOB CNTRY .xlsx,XLSX,NO,0,0
2002 Extract TandF Zurich Weltklasse with RT W Nat.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 Extract TandF Zurich Weltklasse with RT W Nat.xlsx,XLSX,YES,8,64
2002 TandF EXTRACT Eur CHampionships with RT III.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 TandF EXTRACT Eur CHampionships with RT III.xlsx,XLSX,NO,0,0
2002 and 2001 TandF EXTRACTS weltklasse Zurich incl RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2002 and 2001 TandF EXTRACTS weltklasse Zurich incl RT.xlsx,XLSX,NO,13,0
2003 2002 2001 2000 TandF EXTRACT zurich with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\2003 2002 2001 2000 TandF EXTRACT zurich with RT.xlsx,XLSX,NO,0,0
